"id_net_sogg";"reg_code"
"1041";"13"
"1042";"03"
"1043";"15"
"1044";"05"
"1045";"18"
"1046";"18"
"1047";"08--19"
"1048";"12"
"1049";"12--15"
"1050";"02"
"1051";"03--15"
"1052";"09"
"1053";"06"
"1054";"01--15--16--19"
"1055";"14"
"1056";"09"
"1057";"05--11"
"1058";"03--06"
"1059";"16"
"1060";"08"
"1061";"12"
"1062";"19"
"1063";"19"
"1064";"09"
"1065";"19"
"1066";"19"
"1067";"06"
"1068";"12"
"1069";"05"
"1070";"06"
"1071";"20"
"1072";"17--18"
"1073";"03--12--16"
"1074";"08--17"
"1075";"15"
"1076";"19"
"1077";"12"
"1078";"09"
"1079";"18"
"1080";"03"
"1081";"15"
"1082";"09"
"1083";"15"
"1084";"15"
"1085";"03"
"1086";"03"
"1087";"10"
"1088";"15"
"1089";"01--03"
"1090";"05"
"1091";"12"
"1092";"03--08"
"1093";"08"
"1094";"01--08"
"1095";"08--16"
"1096";"05--08"
"1097";"03"
"1098";"07--12"
"1099";"07"
"1100";"07"
"1101";"07"
"1102";"07"
"1103";"05"
"1104";"07"
"1105";"12"
"1106";"07"
"1107";"15"
"1108";"12"
"1109";"01"
"1110";"11"
"1111";"12"
"1112";"01--03--07--09--12"
"1113";"15"
"1114";"16"
"1115";"05"
"1116";"03"
"1117";"15"
"1118";"06"
"1119";"18"
"1120";"15"
"1121";"03"
"1122";"11--12"
"1123";"17"
"1124";"01"
"1125";"03"
"1126";"03"
"1127";"17"
"1128";"03"
"1129";"05"
"1130";"12"
"1131";"15"
"1132";"03--08"
"1133";"03--08"
"1134";"03--08"
"1135";"08--19"
"1136";"15"
"1137";"03"
"1138";"13"
"1139";"04"
"1140";"12"
"1141";"12--17"
"1142";"17"
"1143";"03"
"1144";"19"
"1145";"05"
"1146";"03"
"1147";"15"
"1148";"03"
"1149";"03"
"1150";"08"
"1151";"08--16"
"1152";"13"
"1153";"12"
"1154";"16"
"1155";"09"
"1156";"09"
"1157";"12"
"1158";"16"
"1159";"13"
"1160";"09"
"1161";"11"
"1162";"03--09--12--20"
"1163";"12"
"1164";"01--12"
"1165";"15"
"1166";"13"
"1167";"03--16"
"1168";"12"
"1169";"03"
"1170";"05"
"1171";"01--07"
"1172";"12"
"1173";"08--15"
"1174";"03"
"1175";"10"
"1176";"05"
"1177";"11"
"1178";"06"
"1179";"12"
"1180";"03"
"1181";"13"
"1182";"01"
"1183";"12"
"1184";"03--08--15"
"1185";"10"
"1186";"08"
"1187";"19"
"1188";"07"
"1189";"08--18"
"1190";"08--15"
"1191";"08--12"
"1192";"08--20"
"1193";"08--19"
"1194";"03"
"1195";"01"
"1196";"07"
"1197";"07"
"1198";"07"
"1199";"12"
"1200";"11--13"
"1201";"03"
"1202";"15"
"1203";"01"
"1204";"15"
"1205";"07"
"1206";"09"
"1207";"03"
"1208";"12"
"1209";"19"
"1210";"17"
"1211";"13"
"1212";"09"
"1213";"08"
"1214";"10"
"1215";"03"
"1216";"03"
"1217";"12"
"1218";"03"
"1219";"11"
"1220";"08"
"1221";"03--07"
"1222";"05"
"1223";"19"
"1224";"07"
"1225";"04"
"1226";"20"
"1227";"01"
"1228";"01--12"
"1229";"12"
"1230";"12"
"1231";"12"
"1232";"12"
"1233";"12"
"1234";"18"
"1235";"05"
"1236";"19"
"1237";"09--12"
"1238";"07"
"1239";"09"
"1240";"03"
"1241";"12"
"1242";"03"
