"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
657;"3";0;0;1;0;0;0;0;3
658;"4";0;0;0;1;0;0;0;4
659;"3--4--5";0;0;0;0;0;0;1;7
660;"3";0;0;1;0;0;0;0;3
661;"5";0;0;0;0;1;0;0;5
662;"1";1;0;0;0;0;0;0;1
663;"1";1;0;0;0;0;0;0;1
664;"4";0;0;0;1;0;0;0;4
665;"4";0;0;0;1;0;0;0;4
666;"1";1;0;0;0;0;0;0;1
667;"3";0;0;1;0;0;0;0;3
668;"5";0;0;0;0;1;0;0;5
669;"5";0;0;0;0;1;0;0;5
670;"5";0;0;0;0;1;0;0;5
671;"0";0;0;0;0;0;0;0;0
672;"4";0;0;0;1;0;0;0;4
673;"5";0;0;0;0;1;0;0;5
674;"5--6";0;0;0;0;0;0;1;7
675;"5";0;0;0;0;1;0;0;5
676;"5";0;0;0;0;1;0;0;5
677;"1";1;0;0;0;0;0;0;1
678;"1--5--6";0;0;0;0;0;0;1;7
679;"5";0;0;0;0;1;0;0;5
680;"5";0;0;0;0;1;0;0;5
681;"5";0;0;0;0;1;0;0;5
682;"1";1;0;0;0;0;0;0;1
683;"4";0;0;0;1;0;0;0;4
684;"5";0;0;0;0;1;0;0;5
685;"5";0;0;0;0;1;0;0;5
686;"5";0;0;0;0;1;0;0;5
687;"4";0;0;0;1;0;0;0;4
688;"5";0;0;0;0;1;0;0;5
689;"4--5";0;0;0;0;0;0;1;7
690;"1";1;0;0;0;0;0;0;1
691;"4";0;0;0;1;0;0;0;4
692;"5";0;0;0;0;1;0;0;5
693;"4";0;0;0;1;0;0;0;4
694;"5";0;0;0;0;1;0;0;5
695;"3";0;0;1;0;0;0;0;3
696;"5";0;0;0;0;1;0;0;5
697;"5";0;0;0;0;1;0;0;5
698;"5";0;0;0;0;1;0;0;5
699;"5";0;0;0;0;1;0;0;5
700;"5";0;0;0;0;1;0;0;5
701;"5";0;0;0;0;1;0;0;5
702;"1";1;0;0;0;0;0;0;1
703;"4";0;0;0;1;0;0;0;4
704;"1";1;0;0;0;0;0;0;1
705;"5";0;0;0;0;1;0;0;5
706;"1--5";0;0;0;0;0;0;1;7
707;"4";0;0;0;1;0;0;0;4
708;"1";1;0;0;0;0;0;0;1
709;"1--4";0;0;0;0;0;0;1;7
710;"3--5--6";0;0;0;0;0;0;1;7
711;"5";0;0;0;0;1;0;0;5
712;"1";1;0;0;0;0;0;0;1
713;"1";1;0;0;0;0;0;0;1
714;"3--5";0;0;0;0;0;0;1;7
715;"4";0;0;0;1;0;0;0;4
716;"4";0;0;0;1;0;0;0;4
717;"5";0;0;0;0;1;0;0;5
718;"1";1;0;0;0;0;0;0;1
719;"6";0;0;0;0;0;1;0;6
720;"4";0;0;0;1;0;0;0;4
721;"5";0;0;0;0;1;0;0;5
722;"5";0;0;0;0;1;0;0;5
723;"1";1;0;0;0;0;0;0;1
724;"3";0;0;1;0;0;0;0;3
725;"4";0;0;0;1;0;0;0;4
726;"3";0;0;1;0;0;0;0;3
727;"4";0;0;0;1;0;0;0;4
728;"4";0;0;0;1;0;0;0;4
729;"4";0;0;0;1;0;0;0;4
730;"5";0;0;0;0;1;0;0;5
731;"5";0;0;0;0;1;0;0;5
732;"5";0;0;0;0;1;0;0;5
733;"1";1;0;0;0;0;0;0;1
734;"5";0;0;0;0;1;0;0;5
735;"6";0;0;0;0;0;1;0;6
736;"4";0;0;0;1;0;0;0;4
737;"4";0;0;0;1;0;0;0;4
738;"5";0;0;0;0;1;0;0;5
739;"6";0;0;0;0;0;1;0;6
740;"5";0;0;0;0;1;0;0;5
741;"4";0;0;0;1;0;0;0;4
742;"4";0;0;0;1;0;0;0;4
743;"1";1;0;0;0;0;0;0;1
744;"4";0;0;0;1;0;0;0;4
745;"5";0;0;0;0;1;0;0;5
746;"4";0;0;0;1;0;0;0;4
747;"5";0;0;0;0;1;0;0;5
748;"4";0;0;0;1;0;0;0;4
749;"4";0;0;0;1;0;0;0;4
750;"4";0;0;0;1;0;0;0;4
751;"4";0;0;0;1;0;0;0;4
752;"4--5";0;0;0;0;0;0;1;7
753;"5";0;0;0;0;1;0;0;5
754;"5";0;0;0;0;1;0;0;5
755;"5";0;0;0;0;1;0;0;5
756;"4";0;0;0;1;0;0;0;4
757;"5";0;0;0;0;1;0;0;5
758;"5";0;0;0;0;1;0;0;5
759;"5";0;0;0;0;1;0;0;5
760;"1";1;0;0;0;0;0;0;1
761;"5";0;0;0;0;1;0;0;5
762;"1";1;0;0;0;0;0;0;1
763;"5";0;0;0;0;1;0;0;5
764;"5";0;0;0;0;1;0;0;5
765;"4";0;0;0;1;0;0;0;4
766;"4";0;0;0;1;0;0;0;4
767;"4";0;0;0;1;0;0;0;4
768;"4--6";0;0;0;0;0;0;1;7
769;"5";0;0;0;0;1;0;0;5
770;"5";0;0;0;0;1;0;0;5
771;"3";0;0;1;0;0;0;0;3
772;"4";0;0;0;1;0;0;0;4
773;"5";0;0;0;0;1;0;0;5
774;"4";0;0;0;1;0;0;0;4
775;"6";0;0;0;0;0;1;0;6
776;"5";0;0;0;0;1;0;0;5
777;"5";0;0;0;0;1;0;0;5
778;"5";0;0;0;0;1;0;0;5
779;"5";0;0;0;0;1;0;0;5
780;"5";0;0;0;0;1;0;0;5
781;"5";0;0;0;0;1;0;0;5
782;"4--5";0;0;0;0;0;0;1;7
783;"3--5";0;0;0;0;0;0;1;7
784;"4";0;0;0;1;0;0;0;4
785;"5";0;0;0;0;1;0;0;5
786;"5";0;0;0;0;1;0;0;5
787;"0";0;0;0;0;0;0;0;0
788;"1";1;0;0;0;0;0;0;1
789;"1";1;0;0;0;0;0;0;1
790;"3--4";0;0;0;0;0;0;1;7
791;"4";0;0;0;1;0;0;0;4
792;"5";0;0;0;0;1;0;0;5
793;"5";0;0;0;0;1;0;0;5
794;"6";0;0;0;0;0;1;0;6
795;"4";0;0;0;1;0;0;0;4
796;"5";0;0;0;0;1;0;0;5
797;"5";0;0;0;0;1;0;0;5
798;"4";0;0;0;1;0;0;0;4
799;"4";0;0;0;1;0;0;0;4
800;"4";0;0;0;1;0;0;0;4
801;"5";0;0;0;0;1;0;0;5
802;"5";0;0;0;0;1;0;0;5
803;"5";0;0;0;0;1;0;0;5
804;"5";0;0;0;0;1;0;0;5
805;"5";0;0;0;0;1;0;0;5
806;"6";0;0;0;0;0;1;0;6
807;"1";1;0;0;0;0;0;0;1
808;"4";0;0;0;1;0;0;0;4
809;"5";0;0;0;0;1;0;0;5
810;"6";0;0;0;0;0;1;0;6
811;"3";0;0;1;0;0;0;0;3
812;"5";0;0;0;0;1;0;0;5
813;"0";0;0;0;0;0;0;0;0
814;"0";0;0;0;0;0;0;0;0
